date_added,hq,name,sector,symbol
,,,,
1957-03-04,"Saint Paul, Minnesota",3M,Industrials,MMM
2017-07-26,Milwaukee,A. O. Smith,Industrials,AOS
1957-03-04,"North Chicago, Illinois",Abbott Laboratories,Health Care,ABT
2012-12-31,"North Chicago, Illinois",AbbVie,Health Care,ABBV
2011-07-06,Dublin,Accenture,Information Technology,ACN
1997-05-05,"San Jose, California",Adobe Inc.,Information Technology,ADBE
2017-03-20,"Santa Clara, California",Advanced Micro Devices,Information Technology,AMD
1998-10-02,"Arlington, Virginia",AES Corporation,Utilities,AES
1999-05-28,"Columbus, Georgia",Aflac,Financials,AFL
2000-06-05,"Santa Clara, California",Agilent Technologies,Health Care,A
1985-04-30,"Upper Macungie Township, Pennsylvania",Air Products,Materials,APD
2023-09-18,San Francisco,Airbnb,Consumer Discretionary,ABNB
2007-07-12,"Cambridge, Massachusetts",Akamai Technologies,Information Technology,AKAM
2016-07-01,"Charlotte, North Carolina",Albemarle Corporation,Materials,ALB
2017-03-20,"Pasadena, California",Alexandria Real Estate Equities,Real Estate,ARE
2017-06-19,"Tempe, Arizona",Align Technology,Health Care,ALGN
2013-12-02,Dublin,Allegion,Industrials,ALLE
2016-07-01,"Madison, Wisconsin",Alliant Energy,Utilities,LNT
1995-07-13,"Northbrook, Illinois",Allstate,Financials,ALL
2006-04-03,"Mountain View, California",Alphabet Inc.,Communication Services,GOOGL
2014-04-03,"Mountain View, California",Alphabet Inc.,Communication Services,GOOG
1957-03-04,"Richmond, Virginia",Altria,Consumer Staples,MO
2005-11-18,Seattle,Amazon,Consumer Discretionary,AMZN
2019-06-07,Warmley,Amcor,Materials,AMCR
1991-09-19,St. Louis,Ameren,Utilities,AEE
1957-03-04,"Columbus, Ohio",American Electric Power,Utilities,AEP
